0,1,2,3,4,5,6
07:10-07:25,CDR,Post-sleep,,,,
07:10-07:40,FE-2,Post-sleep,,,,
07:10-07:25,FE-1,Urine test,,,,
07:25-07:55,FE-1,Post-sleep,,,,
07:25-07:40,CDR,Urine test,,,,
07:40-07:55,FE-2,Urine test,,,,
07:40-07:55,CDR,Ф2 БМП absorption cartridge regeneration (init.),,,,
07:55-08:45,.,BREAKFAST,,,,
08:45-09:15,.,Prep for Work,,,,
09:40-09:55,.,DPC (S-band),,,,
09:55-10:55,FE-1,Exercise (ВЕЛО+RED) - 4,,,,
09:55-10:55,FE-2,Exercise (CEVIS),,,,
10:30-12:00,CDR,Exercise (TVIS) - 4,,,,
10:55-12:25,FE-2,Exercise (RED),,,,
10:55-11:10,FE-1,Check  ИП-1 detectors install,,,,
12:00-13:30,FE-1,Exercise (TVIS) - 4,,,,
12:25-12:30,FE-2,Close LAB window shutter,,,,
12:30-12:35,FE-2,Close JEM window shutter,,,,
12:35-12:40,FE-2,HAM h/w deactivation,,,,
12:40-13:25,FE-2,Orbital RED calibration,,,,
13:00-14:00,CDR,Exercise (RED+VELO) - 4,,,,
14:05-14:20,"CDR,FE-1",PMC for PROFILAKTIKA experiment (VHF),,,,
14:15-14:30,FE-2,Activate Laptop А31Р,,,,
14:30-15:30,.,Midday Meal,,,,
15:30-15:40,FE-2,IWIS data transfer,,,,
15:30-15:50,FE-1,IMS update,,,,
15:30-16:10,CDR,SOZh maintenance,,,,
15:40-16:40,FE-2,OUM-PFE – equipment install,,,,
16:15-16:45,CDR,Daily Food Prep,,,,
16:45-17:15,"CDR,FE-1",Prep for progress 365 docking,,,,
17:15-18:45,"CDR,FE-1",Progress 365 docking to SM Propulsion Compartment [АО СМ],,,,
18:45-19:00,CDR,Daily Food Prep,,,,
18:50-19:00,FE-1,Reconfiguration of  comm. Assets post progress docking,,,,
19:00-20:15,"CDR,FE-1",SM propulsion Compartment – Progress 365 interface leak check,,,,
20:05-20:20,FE-2,Prep for Work,,,,
20:15-20:35,"CDR,FE-1",Open X-hatches ПрК-СУ and СУ-ТКГ,,,,
20:20-20:30,FE-2,IWIS - deactivation,,,,
GMT,CREW,ACTIVITY,,,,
