,0,1,count
576,camera,file,2
577,camera,comm,5
578,camera,config,210
579,camera,reconfig,81
580,camera,test,104
581,camera,check,216
582,camera,monitoring,5
583,camera,water,0
584,camera,private,0
585,camera,icv,6
586,camera,fgb,0
587,camera,measurements,0
588,camera,lab,18
589,camera,battery,82
590,camera,status,2
591,camera,charge,27
592,camera,payload,4
593,camera,video,213
594,camera,review,2
595,camera,msg,2
596,camera,experiment,15
597,camera,procedure,2
598,camera,inspection,9
599,camera,laptop,1
600,camera,tank,0
601,camera,morning,0
602,camera,soyuz,17
603,camera,unit,22
604,camera,replacement,9
605,camera,bag,1
606,camera,filter,0
607,camera,start,23
608,camera,photo,59
609,camera,regeneration,1
610,camera,cartridge,0
611,camera,бмп,0
612,camera,tagup,11
613,camera,specialists,9
614,camera,activation,53
615,camera,preparation,24
616,camera,installation,66
617,camera,dc1,1
618,camera,node,24
619,camera,equipment,12
620,camera,prep,55
621,camera,return,11
622,camera,stow,28
623,camera,exercise,12
624,camera,physical,0
625,camera,day,1
626,camera,tvis,11
627,camera,ims,2
628,camera,collection,0
629,camera,hrf,0
630,camera,blood,0
631,camera,urine,0
632,camera,tv,148
633,camera,drying,0
634,camera,kuband,3
635,camera,iss,24
636,camera,progress,3
637,camera,repress,0
638,camera,mcc,8
639,photography,removal,2
640,photography,assembly,18
641,photography,temperature,8
642,photography,eva,15
643,photography,item,4
644,photography,wrs,0
645,photography,page,0
646,photography,recovery,0
647,photography,power,0
648,photography,rack,8
649,photography,loop,0
650,photography,closure,0
651,photography,emergency,0
652,photography,hardware,25
653,photography,setup,49
654,photography,camcorder,0
655,photography,edv,2
656,photography,stowage,11
657,photography,ops,81
658,photography,closeout,16
659,photography,radio,3
660,photography,ham,4
661,photography,session,18
662,photography,data,3
663,photography,transfer,16
664,photography,questionnaire,0
665,photography,downlink,35
666,photography,mec,24
667,photography,air,6
668,photography,sm,123
669,photography,sampling,12
670,photography,fan,5
671,photography,cleaning,15
672,photography,maintenance,7
673,photography,сож,1
674,photography,ssc,0
675,photography,support,3
676,photography,cleanup,0
677,photography,cable,11
678,photography,cargo,1
679,photography,file,30
680,photography,comm,5
681,photography,config,33
682,photography,reconfig,2
683,photography,test,27
684,photography,check,23
685,photography,monitoring,5
686,photography,water,3
687,photography,private,0
688,photography,icv,13
689,photography,fgb,16
690,photography,measurements,0
691,photography,lab,4
692,photography,battery,1
693,photography,status,0
694,photography,charge,0
695,photography,payload,14
696,photography,video,15
697,photography,review,10
698,photography,msg,4
699,photography,experiment,147
700,photography,procedure,7
701,photography,inspection,118
702,photography,laptop,0
703,photography,tank,0
704,photography,morning,0
705,photography,soyuz,28
706,photography,unit,2
707,photography,replacement,2
708,photography,bag,3
709,photography,filter,2
710,photography,start,2
711,photography,photo,1310
712,photography,regeneration,1
713,photography,cartridge,3
714,photography,бмп,0
715,photography,tagup,100
716,photography,specialists,72
717,photography,activation,8
718,photography,preparation,25
719,photography,installation,14
720,photography,dc1,30
721,photography,node,5
722,photography,equipment,32
723,photography,prep,47
724,photography,return,4
725,photography,stow,11
726,photography,exercise,9
727,photography,physical,0
728,photography,day,3
729,photography,tvis,1
730,photography,ims,3
731,photography,collection,2
732,photography,hrf,16
733,photography,blood,6
734,photography,urine,0
735,photography,tv,9
736,photography,drying,3
737,photography,kuband,0
738,photography,iss,73
739,photography,progress,17
740,photography,repress,0
741,photography,mcc,5
742,removal,assembly,40
743,removal,temperature,20
744,removal,eva,24
745,removal,item,22
746,removal,wrs,5
747,removal,page,18
748,removal,recovery,6
749,removal,power,13
750,removal,rack,66
751,removal,loop,8
752,removal,closure,8
753,removal,emergency,2
754,removal,hardware,117
755,removal,setup,10
756,removal,camcorder,5
757,removal,edv,2
758,removal,stowage,79
759,removal,ops,38
760,removal,closeout,9
761,removal,radio,2
762,removal,ham,8
763,removal,session,0
764,removal,data,17
765,removal,transfer,63
766,removal,questionnaire,0
767,removal,downlink,46
768,removal,mec,51
769,removal,air,117
770,removal,sm,138
