0,1,2,3,4,5,6,7,8,9,10,13,14
08:30-11:30,,CDR,,"Weekly HousekeepingSM Ventilation Subsystem Preventive Maintenance, Group E",,,,,,,,
08:30-09:30,,FE-1,,"Weekly HousekeepingSM Ventilation Subsystem Preventive Maintenance, Group E",,,,,,,,
08:30-10:30,,FE-4,,"Weekly HousekeepingSM Ventilation Subsystem Preventive Maintenance, Group E",,,,,,,,
09:30-10:30,,FE-1,,"Physical Exercise (TVIS), Day 3",,,,,,,,
09:30-09:40,,FE-6,,ISS HAM  Radio Setup in Service Module,,,,,,,,
09:40-09:55,,FE-6,,ISS HAM Radio Session from SM,,,,,,,,
09:55-10:55,,FE-6,,Physical Exercise (T2),,,,,,,,
10:00-11:30,,FE-5,,Physical Exercise (ARED),,,,,,,,
10:25-10:30,,FE-3,,AORG Photography in Columbus after cleaning,,,,,,,,
10:30-12:30,,FE-1,,"Weekly HousekeepingSM Ventilation Subsystem Preventive Maintenance, Group ECleaning БМП (Micropurification Unit) Fan Grille",,,,,,,,
10:30-12:00,,FE-4,,"Physical Exercise (TVIS), Day 4",,,,,,,,
10:30-11:30,,FE-3,,Physical Exercise (CEVIS),,,,,,,,
10:55-11:55,,FE-6,,Weekly Housekeeping.,,,,,,,,
11:30-13:00,,CDR,,"Physical Exercise (TVIS), Day 3",,,,,,,,
11:30-13:00,,FE-3,,Physical Exercise (ARED),,,,,,,,
11:30-12:00,,FE-5,,Weekly Housekeeping,,,,,,,,
12:00-13:00,,FE-4,,Weekly HousekeepingFGB ЦВ2 Fan Cleaning,,,,,,,,
13:00-14:00,,,,LUNCH,,,,,,,,
14:00-14:30,,,,Weekly Planning Conference (S-band),,,,,,,,
14:30-15:10,,FE-4,,СОЖ Maintenance,,,,,,,,
14:30-15:30,,"FE-3, FE-5,FE-6",,Increment 28 Crew Handover,,,,,,,,
15:30-16:30,,FE-4,,Physical Exercise (ARED),,,,,,,,
16:20-17:00,,CDR,,МО-21. Analysis of medium 1 results obtained in locations #9 - #16,,,,,,,,
16:30-18:00,,FE-1,,Physical Exercise (ARED),,,,,,,,
17:00-18:00,,CDR,,"Physical Exercise (VELO), Day 3",,,,,,,,
18:00-19:00,,FE-5,,Physical Exercise (T2),,,,,,,,
18:00-19:30,,FE-6,,Physical Exercise (ARED),,,,,,,,
19:25-19:30,,FE-3,,Daily Diet Monitoring,,,,,,,,
19:30-21:30,,,,Pre-sleep,,,,,,,,
21:30-06:00,,,,SLEEP,,,,,,,,
Task List,,"CDR, FE-1,FE-4",,"Video Footage for Documentary ""Orbital Station. Life on Orbit",,,,,,,,
,,Preparation of reports for Roskosmos site,,,,,,,,,,
,,SEINER. Ocean Study,,,,,,,,,,
,,ECON. Observations and Photography,,,,,,,,,,
,,URAGAN. Observations and Photography,,,,,,,,,,
GMT,CREW,,ACTIVITY,,,,,,,,,
06:00-06:10,.,,Morning Inspection,,,,,,,,,
06:10-06:40,.,,Post-sleep,,,,,,,,,
06:40-07:30,.,,Breakfast,,,,,,,,,
08:00-09:00,FE-6,,Physical Exercise CEVIS,,,,,,,,,
08:25-08:40,FE-5,,PFC,,,,,,,,,
09:00-10:30,FE-1,,Physical Exercise ARED,,,,,,,,,
10:30-11:30,FE-4,,,,,,,,,,,
10:30-11:30,FE-3,,Physical Exercise CEVIS,,,,,,,,,
11:00-12:30,CDR,,Physical Exercise T2-3,,,,,,,,,
11:30-13:00,FE-3,,Physical Exercise ARED,,,,,,,,,
11:40-11:55,FE-4,,"PFC (Ku+S-band S/G2, S/G1 - backup)",,,,,,,,,
12:00-12:05,FE-5,,Open Lab window shutter,,,,,,,,,
12:25-12:40,FE-1,,"PFC (Ku+S-band S/G2, S/G1 - backup)",,,,,,,,,
13:00-14:00,"CDR,FE-1,FE-4,FE-5,FE-6",,Lunch,,,,,,,,,
13:00-13:20,FE-3,,,,,,,,,,,
13:20-13:35,FE-3,,PFC,,,,,,,,,
13:35-13:50,FE-3,,Lunch,,,,,,,,,
14:00-14:15,CDR,,"Soyuz 231 IRIDIUM Phone Charge, Phone Setup, Initiate Charge",,,,,,,,,
14:25-15:05,FE-1,,"СОЖ Maintenance Downlink СП counter, SVO, Potok УОВ Data in SMand FGB",,,,,,,,,
14:25-14:30,CDR,,Soyuz 231 IRIDIUM Phone Charge – Charge Status,,,,,,,,,
14:30-14:40,,,,,,,,,,,,
14:55-15:05,FE-4,,"Soyuz 702 IRIDIUM Phone Charge – Phone Setup, Initiate Charge",,,,,,,,,
15:15-15:20,,,,,,,,,,,,
15:20-15:40,,,,,,,,,,,,
15:30-17:00,FE-5,,Physical Exercise ARED,,,,,,,,,
15:40-17:10,FE-4,,Physical Exercise T2-4,,,,,,,,,
17:00-18:00,FE-5,,Physical Exercise CEVIS,,,,,,,,,
17:00-18:30,FE-6,,Physical Exercise ARED,,,,,,,,,
17:00-18:00,FE-1,,Physical Exercise T2-3,,,,,,,,,
17:00-18:00,CDR,,Physical Exercise  VELO-3,,,,,,,,,
18:30-18:45,FE-6,,"Connect МЕС to UOP, Power МЕС, Upload Data to SSC",,,,,,,,,
18:40-19:05,"CDR,FE-1,FE-4,FE-3,FE-5",,Evening Work Prep,,,,,,,,,
18:45-19:05,FE-6,,,,,,,,,,,
19:05-19:30,.,,DPC (S-band),,,,,,,,,
19:30-21:30,"CDR,FE-1,FE-4,FE-3,FE-5",,Pre-sleep,,,,,,,,,
19:30-20:00,FE-6,,,,,,,,,,,
20:00-20:15,FE-6,,PFC,,,,,,,,,
20:15-21:30,FE-6,Pre-sleep,,,,,,,,,,
21:30-06:00,.,Sleep,,,,,,,,,,
,FE-1,"Clean removable screens on ГЖТ 1, 2, 3  FGB / FGB System Operations  item 4.3.2 step 5 page 4-7",,,,,,,,,,
,CDR,Matryoshka - R. Install СЛГ in Protective Shutter,,,,,,,,,,
Task List,,Report Prep for Roscosmos website,,,,,,,,,,
,,ECON. Observation and Photography,,,,,,,,,,
,"CDR,FE-1,FE-4",,,,,,,,,,,
,,URAGAN. Observation and Photography,,,,,,,,,,
,,SEINER. Ocean Study,,,,,,,,,,
,GMT,,CREW,,ACTIVITY,,,,,,,
,06:00-06:10,,CDR,,Morning Inspection. SM ПСС [Caution & Warning Panel] Test,,,,,,,
,06:00-06:10,,FE-1,,Morning Inspection. Inspection of СМ-У connector on МНР-НС separatorpump behind АСУ panel 139,,,,,,,
,06:00-06:10,,FE-4,,Morning Inspection.,,,,,,,
,06:00-06:15,,FE-3,,SLAMMD Stowage,,,,,,,
,06:00-06:05,,FE-6,,Bisphosphonate Pill Ingestion,,,,,,,
,06:00-06:05,,FE-5,,Bisphosphonate Pill Ingestion,,,,,,,
,06:05-06:10,,"FE-6,FE-5",,Morning Inspection,,,,,,,
