0,1,2,3,4,5,6,7
,10:20-11:00,,,,,,
,11:15-11:45,,,,,,
,11:20-11:30,,,,,,
,11:30-11:40,,,,,,
,11:40-11:55,,,,,,
,,,,,,,
,11:40-12:00,,,,,,
,"passive assembly ССПVELO Exercise, Day 4",,,,,,
,,,,,,,
,11:40-12:40,,,,,,
TIME,CREW,,ACTIVITY,,,,
,"CDR, FE-3,",,,,,,
06:00-06:10,,Morning Inspection,,,,,
,FE-5,,,,,,
,,Morning Inspection.,,,,,
06:00-06:10,FE-1,,,,,,
,,Laptop RS1(2) Reboot,,,,,
,,Morning Inspection.,,,,,
06:00-06:10,FE-2,,,,,,
,,SM ПСС (Caution & Warning Panel) Test,,,,,
,,Morning Inspection.,,,,,
06:00-06:10,FE-4,,,,,,
,,"RSS1,2 Reboot",,,,,
06:10-06:35,,Post-sleep,,,,,
06:35-07:20,,BREAKFAST,,,,,
,"CDR, FE-3,",,,,,,
07:20-07:40,,Work Prep,,,,,
,FE-5,,,,,,
,"FE-1, FE-2,",,,,,,
07:20-07:45,,Daily Planning Conference (S-band),,,,,
,FE-4,,,,,,
07:40-07:50,FE-5,Food Frequency Questionnaire,,,,,
,"FE-1, FE-2,",,,,,,
07:45-08:05,,Work Prep,,,,,
,FE-4,,,,,,
08:05-08:10,FE-5,SHD - Weekly Questionnaire,,,,,
08:05-08:10,CDR,SHD - Weekly Questionnaire,,,,,
,,ISS crew and ГОГУ (RSA Flight Control Management Team) weekly,,,,,
08:10-08:25,,,,,,,
,,conference (S-band),,,,,
,"FE-1, FE-2,",,,,,,
08:25-08:40,,IMS Tagup,,,,,
,FE-4,,,,,,
08:25-09:25,FE-5,T2 Exercise,,,,,
08:25-08:35,CDR,CIR - Hardware Teardown,,,,,
08:25-08:30,FE-3,SHD - Weekly Questionnaire,,,,,
08:30-08:55,FE-3,WRM Condensate Pumping Start,,,,,
08:35-08:55,CDR,Conference with SSIPC Management,,,,,
08:40-09:40,FE-1,"БД-2 Exercise, Day 1",,,,,
,,"Photo of SM interior panels using photometric targets (panels 310, 313,",,,,,
08:50-09:35,FE-2,,,,,,
,,"314, 316, 317, 321). Tagup with specialists as necessary",,,,,
09:00-09:15,FE-4,ИП-1 Flow Sensor Position Check,,,,,
09:15-09:40,FE-4,"RS2, RS3 Laptops Inspection And Cleaning. Tagup with specialists",,,,,
09:25-10:55,FE-5,ARED Exercise,,,,,
09:30-09:45,FE-3,WRM Condensate Pumping Terminate,,,,,
,,"Photo of SM interior panels using photometric targets (panels 324, 326,",,,,,
09:35-10:20,FE-2,,,,,,
,,"328, 331, 334, 338, 339).Tagup with specialists (as necessary)",,,,,
09:40-10:10,FE-1,Hygiene Procedures,,,,,
09:40-10:45,FE-4,On MCC Go RS1 Laptop Inspection and Cleaning. Tagup with specialists,,,,,
09:55-10:10,CDR,Private Family Conference,,,,,
,TIME,,,,,,
,06:00-06:20,,,,,,
,06:00-06:10,,,,,,
,06:00-06:10,,,,,,
,06:00-06:10,,,,,,
,06:00-06:10,,,,,,
,06:00-06:05,,,,,,
,06:05-06:20,,,,,,
,06:10-06:15,,,,,,
,06:10-06:35,,,,,,
,TIME,"CREWCDR, FE-5FE-1FE-2FE-3FE-4FE-3CDR, FE-2,FE-4, FE-5FE-1FE-3FE-3FE-3CDR, FE-2,FE-4, FE-5FE-1FE-1FE-3CDRFE-1FE-3FE-2, FE-4FE-5FE-2HandoverFE-4FE-5FE-5FE-3FE-2FE-4FE-5FE-1FE-3FE-2FE-1CDRFE-1","CREWCDR, FE-5FE-1FE-2FE-3FE-4FE-3CDR, FE-2,","ACTIVITYMorning InspectionCHROMATOMASS. Experiment SetupMorning Inspection. SM ПСС (Caution & Warning Panel) TestSaliva Sample Collection ReminderMorning Inspection. RSS1,2 RebootHRF - Sample collection in preparation for cold stowage insertion.",,,
,06:00-06:10,,,,,,
,06:00-06:15,,,,,,
,06:00-06:10,,,,,,
,06:00-06:05,,,,,,
,06:00-06:10,,,,,,
,06:05-06:20,,,,,,
,,,,,,,
,06:10-06:40,,Post-sleep,,,,
,,,"FE-4, FE-5FE-1FE-3FE-3FE-3CDR, FE-2,",,,,
,,CHROMATOMASS. Saliva and Blood CollectionHRF - MELFI Sample InsertionMorning InspectionPost-sleep,,,,,
,06:15-06:45,,,,,,
,06:20-06:25,,,,,,
,06:25-06:35,,,,,,
,06:35-07:05,,,,,,
,,,,,,,
,06:40-07:30,,BREAKFAST,,,,
,,"FE-4, FE-5FE-1FE-1FE-3",,,,,
,,"Morning Inspection. Laptop RS1(2) RebootPost-sleepBREAKFASTDaily Planning Conference (S-band)T2 ExerciseBREAKFASTBREAKFASTWork PrepUSOS Window Shutter ClosePressurization of Elektron-VM Liquid Unit before Activation, mating ЭЛ 28-2 connector",,,,,
,06:45-06:55,,,,,,
,06:55-07:30,,,,,,
,07:05-07:30,,,,,,
,07:30-07:55,,,,,,
,,"CDRFE-1FE-3FE-2, FE-4FE-5FE-2",,,,,
,07:55-08:55,,,,,,
,07:55-08:40,,,,,,
,07:55-08:20,,,,,,
,07:55-08:00,,,,,,
,07:55-08:05,,,,,,
,,,,,,,
,,,Handover,,,,
,08:00-08:30,,,,,,
,,,,,,,
,,"CFE - Hardware Test Ops ReviewCFE-MWA-PREPWork PrepPhotography of Batavia lettuce sampleТКГ 422 (DC1) Transfers and IMS OpsCFE - Preparation and Hardware SetupCHROMATOMASS SPEKTR M. Photography of the Experiment OpsCrew time for ISS adaptation and orientationБД-2 Exercise, Day 2CHROMATOMASS. Closeout OpsHYBRID - Hardware Setup and Experiment TrainingSEISMOPROGNOZ. Downlink data from Control and Data Acquisition",,,,,
,08:05-08:20,,,,,,
,08:20-08:35,,,,,,
,08:20-08:35,,,,,,
,08:30-08:45,,,,,,
,08:30-09:30,,,,,,
,08:35-09:35,,,,,,
,08:40-08:50,,,,,,
,08:40-09:40,,,,,,
,08:45-10:15,,,,,,
,08:50-09:05,,,,,,
,08:55-10:20,,,,,,
,,,,,,,
,09:20-09:30,,,,,,
,Module (МКСД) HDD (start).  Tagup with specialists,,,,,,
,,,,,,,
