0,1,2,3,4
10:00-11:00,FE-5,,Crew time for ISS adaptation and orientation,
10:15-10:50,CDR,,VO2max - PFS SW Calibration and Hardware Checkout,
10:50-11:30,CDR,,VO2max Experiment Protocol,
11:00-12:00,FE-5,,Physical Exercise T 2,
11:00-11:10,FE-4,,TV PAO Setup,
11:10-11:30,"FE-1, FE-2,FE-4",,"ISS-MCC-M TV. TV PAO Event with RCC Energia, IMBP, GCTC Management.New Year Greetings (Ku + S-band)",
11:25-11:30,FE-6,,PROK. Off-Load Urine PH Kit,
11:30-12:30,FE-1,,"Physical Exercise (TVIS), Day 2",
11:30-12:20,CDR,,VO2max - PFS Closeout Ops,
11:30-11:45,FE-6,,Journal Entry,
11:30-12:00,FE-4,,Removal of two КЛ-152М TV cameras and СГ2-14В light units from Soyuz 703[СА]. TV cameras will return on Soyuz 232. Update temp stowage locationin the IMS,
11:30-13:00,FE-2,,Physical Exercise (ARED),
11:45-12:45,FE-6,,Crew time for ISS adaptation and orientation,
12:00-13:00,FE-4,,Soyuz 703 Transfers and IMS Ops,
12:00-12:15,FE-5,,VIABLE Crew OBT,
12:15-12:45,FE-5,,VIABLE Bag Inspection,
12:30-12:40,FE-1,,ТТМ-2 Charge Termination. ТТМ-2 prep to measure air flow,
12:30-13:15,CDR,,VO2 Stowage,
12:45-13:45,FE-6,,LUNCH,
12:45-12:50,FE-5,,SHD. Questionnaire Data Entry,
13:00-14:00,"FE-1, FE-2,FE-4",,LUNCH,
13:15-14:15,"CDR,FE-5",,LUNCH,
13:45-17:15,FE-6,,EPIC C&C Test,
14:00-17:00,FE-1,,Measuring Hatchway Perimeter Air Flow in ISS RS. Tagup with specialists (S-band),
14:00-16:40,FE-4,,Soyuz 703 Transfers and IMS Ops,
14:00-14:40,FE-2,,СОЖ Maintenance,
14:15-15:00,"CDR, FE-5",,Crew Handover to Expedition 30,
14:40-16:20,FE-2,,Progress 413 Stowage and IMS Operations,
15:00-15:15,CDR,,EPIC - Connecting PCS to UOP,
15:00-15:05,FE-5,,PROK Diet Logging (Day 2-4),
15:15-15:45,"CDR, FE-5",,WHC EDV-U Remove and Replace,
15:45-17:15,CDR,,Physical Exercise (ARED),
15:45-17:15,FE-5,,Physical Exercise (CEVIS),
16:20-17:20,FE-2,,"Physical Exercise (TVIS), Day 2",
16:40-17:20,FE-4,,Crew time for ISS adaptation and orientation,
17:00-17:15,FE-1,,Evening Work Prep,
17:15-17:30,"CDR, FE-5",,IMS conference,
17:15-17:25,FE-6,,ICV Crew Reviews Reference Material,
17:15-18:25,FE-1,,Physical Exercise (ARED),
17:20-18:20,FE-4,,"Physical Exercise (VELO), Day 2",
17:20-17:40,FE-2,,IMS Update,
17:25-17:35,FE-6,,Actiwatch Data Download,
17:35-18:25,FE-6,,ICV Monitoring Prep,
17:40-18:10,FE-2,,INTERACTION Experiment Ops,
18:00-18:25,FE-5,,Evening Work Prep,
18:00-18:05,CDR,,VO2max - PFS Closeout Ops,
18:05-18:25,CDR,,Evening Work Prep,
18:10-18:25,FE-2,,Evening Work Prep,
18:20-18:25,FE-4,,Evening Work Prep,
18:25-18:50,,,Daily Planning Conference (S-band),
18:50-19:10,,,Evening Work Prep,
