0,1,2,3,4,5,7
TIME,CREW,,,,,
18:25-18:45,FE-6,Evening Work Prep,,,,
18:35-18:40,CDR,Shutting down Т2 software to transfer data,,,,
18:45-19:00,,Daily Planning Conference (S-Band),,,,
19:00-19:30,FE-6,Evening Work Prep,,,,
19:00-19:25,CDR,Evening Work Prep,,,,
19:00-19:20,FE-4,RELAKSATSIYA. Earth Observations 2,,,,
19:20-19:30,FE-4,RELAKSATSIYA. Closeout Ops,,,,
19:25-19:30,CDR,Display Power down,,,,
19:30-19:35,CDR,P/TV Playback Start,,,,
19:30-21:30,"FE-6, FE-4",Pre-sleep,,,,
19:35-21:25,CDR,Pre-sleep,,,,
21:25-21:30,CDR,P/TV Playback Stop,,,,
21:30-06:00,.,SLEEP,,,,
,,Preparation of reports for Roskosmos site,,,,
Task List,FE-4,ECON Observations and Photography,,,,
,,URAGAN Observations and Photography,,,,
TIME,CREW,,,,,
06:00-06:05,CDR,Reaction Self Test,,,,
,,Morning Inspection,,,,
06:00-06:10,FE-4,SM ПСС (Caution & Warning Panel) Test  Reboot Laptop RS1(2),,,,
,,"Reload Laptop RSS1, RSS2",,,,
06:00-06:05,FE-6,Reaction Self Test,,,,
06:05-06:10,"FE-6, CDR",Morning Inspection,,,,
06:10-06:40,,Post-sleep,,,,
06:40-07:30,,BREAKFAST,,,,
07:30-07:50,,Work Prep,,,,
07:50-08:05,,Daily Planning Conference (S-band),,,,
08:05-09:35,CDR,Physical Exercise (ARED),,,,
08:05-08:15,FE-6,Thermolab Deinstrumentation,,,,
08:15-08:20,FE-6,G1 Camcorder Setup,,,,
08:20-09:10,FE-6,AQH Pre Experiment Reconfiguration Part 1,,,,
08:20-09:00,FE-4,IDENTIFICATSIYA. Copy ИМУ-Ц micro-accelerometer data to laptop,,,,
09:00-10:30,FE-4,"Physical Exercise (TVIS), Day 3",,,,
09:10-09:20,FE-6,MSPR AQH Components Activation,,,,
09:35-10:25,CDR,RGN-REC TK – Transfer and Replacement,,,,
10:15-11:00,FE-6,AQH Pre Experiment Reconfiguration Part 2,,,,
10:30-13:00,FE-4,Recovery of КОБ2 4СПН1 panel. Tagup with specialists (S-band),,,,
10:40-11:50,CDR,WRS - Recycle Tank Fill from EDV,,,,
11:00-11:20,FE-6,Crew removes broken TFM Insert from HRF PFM/PAM and Assembles the New One,,,,
12:05-12:15,FE-6,Crew Prep for PAO,,,,
12:10-13:00,CDR,RGN - Recycle Tank Ops,,,,
12:15-12:25,FE-6,PAO Hardware Setup,,,,
12:25-12:45,FE-6,PAO Event,,,,
13:00-14:00,,LUNCH,,,,
14:00-14:15,CDR,RGN - Initiate drain into ЕДВ,,,,
14:00-16:00,FE-4,Recovery of КОБ2 4СПН1 panel. Tagup with specialists (S-band),,,,
