0,1,2,3,5
17:20-18:40,FE-4,ARED exercise,,
17:45-18:00,FE-3,JSL router setup,,
18:00-18:10,FE-3,CUP RWS DCP power up in preparation to HTV departure,,
18:05-18:20,FE-6,PPC,,
18:15-18:40,FE-3,Evening work prep,,
18:40-19:05,.,DPC (S-band),,
19:05-19:30,.,JSL router setup,,
19:30-19:50,.,Crew conference with the astronaut team,,
19:50-21:30,"CDR,FE-2, FE-3",Pre-sleep,,
19:50-21:15,FE-4,Pre-sleep,,
19:50-21:25,"FE-5,FE-6",Pre-sleep,,
21:15-21:30,FE-4,BAR. Piren charge up – start,,
21:25-21:30,FE-5,Reaction self-test,,
21:25-21:30,FE-6,Reaction self-test,,
21:30-06:00,.,Sleep,,
,,Prepare reports for Roskosmos web-site,,
Task List,"CDR,FE-2, FE-4",EKON-M. Observation and photography,,
,,URAGAN. Observation and photography,,
12:10-12:25,"CDR, FE-2, FE-4",,IMS Tagup (S-band),
12:10-13:20,FE-3,,Binary Colloid Alloy Test - C1 Initialization and Photography of SFU Samples,
12:25-13:25,CDR,,ARED Exercise,
12:25-13:25,FE-2,,"T2 Exercise, Day 1",
12:25-12:35,FE-4,,IDENTIFIKATSIYA. Copy ИМУ-Ц Micro-Accelerometer Data to HDD for return (closeout),
12:35-13:05,FE-4,,Assessment of ТТС MU Removal. Tagup with specialists (S-band),
12:55-13:10,FE-5,,USND2 - Close-out Ops and Stowage,
13:10-13:15,FE-6,,ISERV - Opening window shutters in the LAB,
13:15-13:25,FE-4,,Reading БАОК ГАНК-4М Data,
13:15-13:25,"FE-5, FE-6",,Food Frequency Questionnaire,
13:25-14:25,,,LUNCH,
14:25-15:25,FE-2,,ТК 708 Packing with Hardware for Disposal,
14:25-14:30,FE-3,,PROK - Diet Log,
14:25-15:25,"FE-4, FE-5, FE-6",,Emergency Roles and Responsibilities Review,
14:25-15:25,CDR,,ТК 708 Stowage Ops,
14:30-14:40,FE-3,,HRF2 Photography,
14:40-15:10,FE-3,,BCATC1 Hardware Setup Photo,
15:10-15:20,FE-3,,Food Frequency Questionnaire,
15:25-16:25,FE-4,,"CALCIUM. Photograph, Process and Downlink Photos. Tagup with specialists (as necessary) (S-band)",
15:25-16:25,CDR,,Crew Departure Prep,
15:25-15:40,FE-2,,ИП-1 Flow Sensor Position Check,
15:25-15:35,FE-5,,On MCC Go ATV - ISS Air Repress (start).,
15:30-17:00,FE-6,,ARED Exercise,
15:35-15:55,FE-5,,DIAPASON - Equipment Repack,
15:40-17:10,FE-2,,"БД-2 Exercise, Day 1",
15:55-16:55,FE-5,,T2 Exercise,
16:00-16:15,FE-3,,Private Medical Conference,
16:15-17:00,FE-3,,Photo Camera Setup,
16:25-17:05,FE-4,,СОЖ Maintenance,
16:45-18:15,CDR,,"БД-2 Exercise, Day 2",
16:55-17:10,FE-5,,DIAPASON - Hardware Setup and Activation,
17:00-18:30,FE-3,,ARED Exercise,
17:00-18:00,FE-6,,T2 Exercise,
17:05-17:25,FE-4,,IMS Update,
17:10-18:10,FE-2,,Crew Departure Prep,
17:15-17:20,FE-5,,SHD - Weekly Questionnaire,
18:35-18:55,FE-6,Evening work prep,,
18:55-19:20,,DPC,,
19:20-19:40,,Crew- FD conference,,
,"CDR,FE-1,",,,
19:40-21:30,"FE-2,FE-3,",Pre-sleep,,
,FE-6,,,
19:40-21:00,FE-5,Pre-sleep,,
21:00-21:15,FE-5,Private family conference,,
21:15-21:30,FE-5,Pre-sleep,,
21:30-06:00,,Sleep,,
,,IMS update,,
Task List,CDR,Recording video for Roskosmos press office,,
,,URAGAN. Observation and photography,,
,,EKON-M. Observation and photography,,
,,Prepare reports for Roskosmos web-site,,
10:20-11:20,FE-5 T2 Exercise,,,
11:05-11:20,FE-2 Private Family Conference (Ku+S-band),,,
11:20-13:00,FE-5 Weekly housekeeping,,,
11:30-11:45,FE-4 Private Family Conference (Ku+S-band),,,
12:00-13:00,"CDR T2 Exercise, Day 1",,,
12:00-13:00,FE-3 Weekly housekeeping,,,
12:00-13:00,"FE-4 БД-2 Exercise, Day 4",,,
13:00-14:00,. LUNCH,,,
14:00-14:40,CDR IDENTIFICATION. Copy ИМУ-Ц micro-accelerometer data to laptop,,,
14:00-14:40,"FE-2 СОЖ Maintenance. SM and FGB СВО, СГО, СПКУ АСУ Counter, POTOK Air Purification System Data Calldowns",,,
14:00-14:40,FE-3 ECLSS system container replacement,,,
14:30-14:45,FE-6 Private Family Conference,,,
14:40-15:30,"CDR,FE-2, FE-4 Video Recording of TV Greetings",,,
15:40-17:10,FE-4 ARED Exercise,,,
15:50-17:10,"FE-2 БД-2 Exercise, Day 4",,,
16:05-16:20,FE-5 Private Family Conference,,,
16:10-17:10,FE-6 CEVIS Exercise,,,
17:10-18:40,CDR ARED Exercise,,,
17:10-18:40,"FE-6 БД-2 Exercise, Day 1",,,
19:05-19:20,. Evening Work Prep,,,
19:20-19:35,FE-3 Private Family Conference,,,
,"CDR,FE-2,",,,
19:30-21:30,"FE-4,FE-5, Pre-sleep",,,
,FE-6,,,
19:35-21:30,FE-3 Pre-sleep,,,
21:30-06:00,. SLEEP,,,
,URAGAN. Observations and Photography,,,
,"Preparation of reports for Roskosmos site / r/g CDR,FE-2,",,,
Task List,FE-4 SEINER. Ocean Observations,,,
,ECON-M. Observations and Photography,,,
,"CDR,FE-2 Personal Data Prep on SSC for Crew Return",,,
TIME,CREW,,,
06:00-06:10,CDR,"Morning inspection.  RSS1, RSS2 restart Laptop RS2(1) reboot SM ПСС Test",,
06:10-06:40,CDR,Post-sleep,,
06:40-07:30,CDR,Breakfast,,
07:30-07:45,CDR,DPC (S-band),,
07:45-07:50,CDR,S/G1 voice check w/Baikonur,,
07:50-08:10,CDR,Work prep,,
08:10-08:15,CDR,Comm configuration for science ops conference out of MRM2,,
08:15-09:15,CDR,KULONOVSKIY KRISTALL Experiment run,,
09:15-09:45,CDR,KULONOVSKIY KRISTALL  Equipment takedown,,
09:45-09:50,CDR,MRM2 comm reconfig,,
09:50-10:10,CDR,KULONOVSKIY KRISTALL Data copy to HDD,,
10:10-11:40,CDR,БД-2 (4) exercise,,
11:40-12:20,CDR,"Elektron’s ЕДВ (КОВ) (# 7, installed)  inspection and separation (as need)",,
12:20-13:00,CDR,СОЖ maintenance,,
13:00-14:00,CDR,Lunch,,
14:00-14:20,CDR,Elektron mains leak check – setup disassembly,,
14:20-14:35,CDR,ИП-1 sensor setting c/o,,
14:35-14:50,CDR,DALNOST. Log files downlink from  ТВМ1-Н,,
15:25-16:25,CDR,VELO (3) exercise,,
16:25-18:15,CDR,SM ventillation preventive maintenance. Group В1,,
18:15-18:35,CDR,IMS update,,
18:40-18:55,CDR,Private medical conference,,
18:55-19:10,CDR,Evening work prep,,
19:10-19:25,CDR,DPC (S-band),,
19:25-19:30,CDR,Evening work prep,,
19:30-21:30,CDR,Pre-sleep,,
21:30-06:00,CDR,Sleep.,,
,,Recording video for Roskosmos Press Office,,
,,Prepare reports for Roskosmos web-site,,
Task List,CDR,,,
,,URAGAN. Observation and photography,,
,,EKON-M. Observation and photography,,
GMT,CREW,,,
,,Осмотр станции.,,
06:00-06:10,CDR,"RSS1, RSS2 Reboot Laptop RS2(1) Reboot )SM ПСС (Caution & Warning Panel) Test",,
,,Inspecting connector СМ-У on МНР-НС behind panel 139 of АСУ,,
06:10-06:40,CDR,Post-sleep,,
06:40-07:30,CDR,Breakfast,,
07:30-07:50,CDR,Work prep,,
07:50-08:05,CDR,DPC (S-band),,
08:05-08:15,CDR,Work prep,,
08:15-09:05,CDR,Preparation for Prox-link Antenna Feeder Standing Wave Factor Measurement. Tag-up with specialists (S-band),,
09:05-09:35,CDR,Prox-link Antenna Feeder Standing Wave Factor Measurement. Tag-up with specialists (S-band),,
09:35-09:50,CDR,Closeout ops after Prox-link Antenna Feeder Standing Wave Factor Measurement. Tag-up with specialists (S-band),,
09:50-10:15,CDR,FSH3 - photos downlink,,
10:15-11:45,CDR,EXERCISE ARED,,
12:30-13:00,CDR,Electron lines leak check - setup assembly  Tagup (S-band),,
13:00-14:00,CDR,Lunch,,
14:00-14:05,CDR,Comm config to support experiment in MRM2,,
14:05-15:05,CDR,KULONOVSKYI KRISTALL - experiment run. Tagup (S-band),,
15:05-15:10,CDR,Comm reconfig to nominal in MRM2,,
15:10-15:30,CDR,KULONOVSKYI KRISTALL. Copying data to hard drive,,
15:30-17:00,CDR,MATRYOSHKA-Р. Collection and reading of Bubble dosimeters. Tagup if needed (S-band),,
17:00-17:40,CDR,СОЖ Maintenance,,
17:40-18:25,CDR,EXERCISE БД-2  -3,,
18:25-18:40,CDR,Exercise data downlink,,
18:45-19:00,CDR,DPC (S-band),,
19:00-19:30,CDR,Evening work prep,,
19:30-21:30,CDR,Pre-sleep,,
21:30-06:00,CDR,Sleep,,
,,Preparation of reports for Roskosmos site,,
,,IMS update,,
Task List,CDR,ECON-M. Observations and Photography,,
,,URAGAN. Observations and Photography,,
,,Recording video for Roskosmos Press Service,,
15:20-15:55,FE-6,ICE CRYSTAL2. Ice Cell Installation,,
15:30-15:45,FE-2,CASKAD. Bioreactor Removal and Transfer to ТК 708,,
15:30-15:45,FE-5,Private Medical Conference,,
15:45-15:55,FE-2,Removal of Recomb-K from Thermostat and Transfer to ТК,,
15:55-16:05,FE-2,BIOEMULSIYA. Removal from thermostat (+4 С) and transfer to ТК,,
15:55-16:55,FE-6,T2 Exercise,,
15:55-16:15,FE-5,ECCO - Pack Cartridges and Samples,,
16:00-17:30,CDR,"БД-2- Exercise, Day 2",,
16:05-16:15,FE-2,BIF. Removal from thermostatic container and transfer to Soyuz,,
16:15-16:25,FE-5,ECCO - Handover for Soyuz packing,,
16:15-16:25,FE-2,ARIL. Case Removal from Thermostat (+4 deg C) and Transfer to ТК,,
16:25-16:30,FE-2,ECCO. Kit Transfer for Return to the ground,,
16:25-16:30,FE-5,Handover of ECCO thermal container to a Russian crew member,,
16:30-16:35,FE-5,Stow Video Equipment to Record RWS Ops,,
16:35-16:45,FE-5,Crew sets the D2Xs intervalometer,,
16:45-18:20,FE-5,CYGNUS  Cargo Pre-gather,,
16:55-18:25,FE-6,ARED Exercise,,
16:55-17:10,FE-3,Private Medical Conference,,
17:30-17:35,CDR,Orlan-MK No. 5 Drying (switching to backup fan) /,,
17:40-17:50,FE-1,ТПК 708 Return Stowage Complete Report,,
17:50-18:10,FE-1,Photography of the external surface of ТК 708 СА hatch/manhole door,,
17:50-18:10,CDR,IMS Update,,
18:10-19:10,CDR,LUNCH,,
18:20-19:20,"FE-1, FE-2, FE-3, FE-5",LUNCH,,
18:25-19:25,FE-6,LUNCH,,
19:10-19:20,CDR,Comm config before ТК 708 undocking from MRM2 /,,
19:20-19:35,CDR,Downlink photo of the external surface of ТК 708 СА-БО hatch-manhole and return cargo packing photo,,
,,ТК 708 Activation,,
,,Removal of ССД301 Light in ТК 708 БО for SM spares,,
19:20-20:20,"FE-1, FE-2","and ТК comm check via S-band (S/G2). Stow lights into bag 407-34 (00050114R, МИМ1_ПБ_407_1) or bag 410-9 (00054220R,",,
,,МИМ1_Пт_304_1). Reflect changes in IMS. Get r/g 3402 from,,
,,ТК 708,,
19:20-19:30,FE-5,ISS- HAM-radio Deactivation,,
19:25-20:20,FE-6,CYGNUS. Cargo Pre-gather,,
19:30-20:00,FE-5,Potable Water Dispenser (PWD) Beverage Adapter Cleaning,,
19:35-19:55,CDR,Orlan-MK No. 5 Drying (closeout) /,,
20:05-20:20,CDR,Setup and Activation of КСПЭ Equipment for Hatch Closure TV,,
13:45-14:00,FE-6,Private famility conference,,
14:00-15:00,FE-6,Обед,,
14:40-14:50,FE-3,MELFI- hw review,,
14:40-14:50,FE-5,HMS  - food questionnaire,,
14:50-14:55,FE-3,Weekly headache questionnaire,,
14:50-15:00,FE-5,SSC server fans cleaning,,
15:00-15:25,CDR,СОЖ maintenance,,
15:05-15:25,"FE-3, FE-5,  FE-6",Cygnus- docking conference,,
15:25-16:25,"FE-5, FE-6",Cygnus - capture procedures review,,
15:25-15:40,CDR,Gas analyzer in Soyuz 709 -- deactivation,,
15:25-15:40,FE-1,Gas analyzer in Soyuz 710 -- deactivation,,
16:10-16:25,"FE-1,FE-2",БД-2 exercise procedure familiarization,,
16:10-17:40,CDR,EXERCISE БД-2 - 4,,
16:25-16:55,FE-6,Cygnus docking command panel setup,,
16:30-17:00,"FE-1,FE-2",Exercise procedure familiarization,,
16:55-17:15,FE-6,HCP - self-test,,
17:00-18:30,FE-5,EXERCISE ARED,,
17:00-17:15,"FE-1,FE-2,FE-3",ARED exercise procedure familiarization,,
18:30-19:30,"FE-1,FE-2",Crew time for adaptation and ISS familiarization,,
18:35-18:50,FE-5,Private family conference,,
18:45-19:15,"FE-3, FE-6",Evening work prep,,
18:50-19:05,FE-5,"Preparing RPOP (Rendezvous and Prox Ops Program), which determines Cygnus approach range/rate",,
19:05-19:15,FE-5,Evening work prep,,
19:15-19:30,"FE-3, FE-5,  FE-6",DPC (S-band),,
19:30-21:20,FE-5,Pre-sleep,,
