0,1,2
15:05-15:15,FE-4,"Space Suits 1,2 Drying Termination"
15:10-15:25,FE-3,FE3 Audio Journal Entry
15:15-15:30,FE-4,"Space Suit 3 Drying - Initiation, and 1st Pair of Gloves Setup for Drying"
15:30-17:00,CDR,ARED Exercise
15:30-16:00,FE-4,ISS Crew Departure Preparation
15:45-16:05,"FE-1, FE-3",Hardware Transfer
,,"First Pair of Gloves Drying Termination, Second Pair of Gloves Setup for"
16:00-16:05,FE-4,
,,Drying
,,FGB СУБК (Onboard Complex Control System) and СЭС (EPS) equipment
16:05-16:35,FE-1,
,,setup for diagnostics. Tagup with specialists if required.
16:05-16:25,FE-3,Deploy SODF delivered by Dragon
16:05-16:35,FE-4,ISS Crew Departure Preparation
16:05-16:15,FE-5,BRIC-MELFI – Insertion
16:05-17:00,FE-2,URAGAN. Observation and Photography using [НА] ФСС Equipment
TIME,CREW,
06:00-06:05,CDR,Reaction self-test
,"FE-1,FE-3,",
06:00-06:10,,Morning inspection
,FE-5,
,,Morning inspection.
06:00-06:10,FE-2,
,,Laptop RS1(2) Reboot
,,"Morning Inspection, Laptop RSS1,2, Reboot"
06:00-06:10,FE-4,
06:05-06:15,CDR,Morning inspection
,"FE-1,FE-2,",
06:10-06:40,"FE-3,FE-4",Post-sleep
,FE-5,
06:15-06:40,CDR,Post-sleep
,"CDR,FE-2,",
06:40-07:30,"FE-3,FE-4,",BREAKFAST
,FE-5,
06:40-07:30,FE-1,BREAKFAST. SM ПСС Test (after breakfast)
07:30-09:05,CDR,Weekly housekeeping
,,Weekly housekeeping
,,"SM ventillation system - preventive maintenance, group E"
07:30-10:30,FE-4,Cleaning FGB ЦВ2 fan
,,СКВ visual inspection
,,ВКС laptops cleaning
,,Weekly housekeeping
07:30-10:30,FE-1,Cleaning БМП fan screen
,,ВКС laptops cleaning
,,Weekly housekeeping
07:30-10:30,FE-2,
,,ВКС laptops cleaning
07:30-10:30,"FE-3,FE-5",Weekly housekeeping
09:05-09:20,CDR,Crew-requested activity
09:20-10:45,CDR,Weekly housekeeping
10:30-12:00,FE-4,ФУ БД-2 - 3
10:30-10:35,FE-3,PETRI - turn on lighting
