0,1,2,3
,,ECON-M. Observations and Photography,
TIME,CREW,,
06:00-06:10,CDR,Morning Inspection.  SM ПСС (Caution & Warning Panel) Test,
06:00-06:05,FE-6,Reaction Self Test,
06:00-06:10,"FE-2, FE-3, FE-5",Morning Inspection,
06:00-06:15,FE-4,KHROMATOMASS. Experiment Setup,
06:05-06:10,FE-6,Reading REMINDER,
,"CDR, FE-2,",,
06:10-06:40,"FE-3, FE-5,",Post-sleep,
,FE-6,,
06:15-06:45,FE-4,KHROMATOMASS. Saliva and Blood Collection,
,"CDR, FE-2,",,
06:40-07:30,"FE-3, FE-5,",BREAKFAST,
,FE-6,,
06:45-06:55,FE-4,"Morning Inspection. RSS1,2 Reboot",
06:55-07:15,FE-4,Post-sleep,
07:15-07:35,FE-4,BREAKFAST,
,"CDR, FE-2,",,
07:30-07:35,"FE-3, FE-5,",Work Prep,
,FE-6,,
07:35-08:00,,Daily Planning Conference (S-band),
08:00-08:10,"CDR, FE-2, FE-6",Work Prep,
08:00-08:30,FE-5,СО2 and Remaining water Purge from Sabatier,
08:00-08:40,FE-4,BREAKFAST,
08:00-08:15,FE-3,Work Prep,
08:10-08:25,FE-6,Private Psychological Conference,
08:15-08:25,FE-3,CIR - Hardware Setup,
08:15-09:15,CDR,NAPOR-miniRSA. Installation of БЗУ and Photography,
08:15-08:25,FE-2,BRI Log Dump from RSS1,
08:25-08:35,FE-2,OBSTANOVKA. Download of Obstanovka P/L Data from БСПН to RSS1 (start),
08:25-08:30,FE-6,Camcorder setup to capture T2 exercise,
08:25-09:10,FE-3,Acoustic Dosimeter Stow,
08:30-10:00,FE-5,ARED Exercise,
08:30-09:25,FE-6,T2 Exercise,
08:35-08:50,FE-2,ИП-1 Flow Sensor Position Check /,
08:40-08:55,FE-4,Work Prep,
08:55-09:10,FE-4,KHROMATOMASS. Closeout Ops,
09:10-10:30,FE-4,"VIRTUAL. Set up, Conduct Experiment and Closeout Ops",
09:10-09:25,FE-3,SSRMS Checkout,
09:15-11:55,"CDR, FE-2","NAPOR-miniRSA. Installation of cables 17КС.49Ю 8249А-30, -90, -40, -80",
09:25-10:55,"FE-3, FE-6",OBT - Cygnus Offset Grapple,
10:00-10:45,FE-5,Optical Coherence Tomography (OCT) - Test Setup,
10:30-11:00,FE-4,Counter Measure System (CMS) Harmful Contaminant Measurements in SM,
10:55-11:05,FE-3,SSRMS Checkout,
11:00-11:15,FE-4,ISS RS Atmosphere Analysis Using АОК ГАНК-4М,
11:05-11:15,"FE-3, FE-6",OBT - SSRMS Debrief Conference,
11:15-12:15,FE-6,Optical Coherence Tomography (OCT) - Subject,
11:15-12:15,FE-3,Optical Coherence Tomography (OCT) Test Crew Medical Officer,
11:15-11:25,FE-4,On MCC Go Vozdukh Deactivation,
11:20-12:50,FE-5,IWIS RSU installation,
11:30-13:00,FE-4,"БД-2 Exercise, Day 2",
11:55-13:00,CDR,"VELO Exercise, Day 2",
12:00-13:00,FE-2,EXPANDER Exercise,
12:15-12:30,FE-6,ANISO - Sample prep,
12:20-12:25,FE-3,Photo/TV Camcorder Setup Verification,
12:25-13:20,FE-3,T2 Exercise,
12:30-12:35,FE-6,ANISO - MELFI Sample Insertion,
12:40-12:45,FE-6,USND2 - Hardware activation,
12:45-13:45,FE-6,LUNCH,
12:50-13:50,FE-5,LUNCH,
