0,1,2
07:45-08:05,"CDR, FE-4",Work Prep
07:45-07:55,FE-5,Work Prep
07:55-08:10,FE-5,Acoustic Dosimeters: hardware setup for static measurements
08:15-09:45,CDR,ARED Exercise
08:25-08:35,FE-4,URAGAN. Photo Spectrum System Battery Charge (start)
08:30-08:35,FE-5,ISERV - Window Shutter Open
08:35-11:25,FE-5,T2 Semi-Annual Maintenance
08:35-09:05,FE-4,Locating Equipment to Replace ЦВМ (А1)
09:05-09:15,FE-4,OBSTANOVKA. Download of Obstanovka P/L Data from БСПН to RSS1 (start)
09:15-11:10,FE-4,Water Transfer from Progress 422 Water Tank БВ2 to EDV and Progress 422 Water Tank БВ2 Shell Compression
09:45-09:55,CDR,SSRMS Checkout
09:55-10:05,CDR,PAO Hardware Setup
10:05-10:15,CDR,Crew Prep For PAO
10:15-10:35,CDR,PAO Event
10:35-12:50,CDR,SLM data transfer
11:10-12:10,FE-4,"VELO Exercise, Day 4"
11:25-11:40,FE-5,T2 Activation and Checkout Video Setup
11:40-12:00,FE-5,T2 - Activation and Functional Check
12:00-12:10,FE-5,Treadmill 2 (T2) Activation and Checkout (ACO) Video Teardown
12:10-13:00,FE-4,URAGAN. Observation and Photography using Photo Spectrum System
12:30-13:30,FE-5,LUNCH
12:50-13:50,CDR,LUNCH
13:00-14:00,FE-4,LUNCH
13:40-13:50,FE-5,PAO Hardware Setup
13:50-14:00,"CDR, FE-5",Crew Prep for PAO
14:00-14:10,FE-4,On MCC GO Filling up ТГК 422 (DC1) СрПК Section 2 with N2
14:00-14:20,"CDR, FE-5",PAO Event
14:15-14:35,FE-4,Preparation for ЦВМ(А1) Replacement. Tagup with specialists
TIME,CREW,
06:00-06:10,"CDR,FE-5",Morning Inspection
,,Morning Inspection.
06:00-06:10,FE-4,Laptop RS1(2) Reboot
,,"RSS1,2 Reboot"
06:10-06:40,.,Post-sleep
06:40-07:30,"CDR,FE-5",BREAKFAST
06:40-07:30,FE-4,BREAKFAST.  SM ПСС Test (after breakfast)
09:00-10:00,CDR,T2 Exercise
10:00-11:30,FE-4,"БД-2 Exercise, Day 2"
10:00-11:00,FE-5,T2 Exercise
11:00-12:30,FE-5,Exercise ARED
12:30-12:35,CDR,HAM Video setup for HAM radio pass
13:00-14:00,.,LUNCH
14:00-14:40,FE-4,"СОЖ Maintenance. SM and FGB СВО, СГО, АСУ СПКУ Counter, POTOK Air Purification System Data Calldowns"
15:30-17:00,CDR,ARED Exercise
17:00-17:15,CDR,Private Family Conference
17:00-18:00,FE-4,"VELO Exercise, Day 2"
17:45-18:00,FE-5,Journal entry
18:15-18:30,FE-5,Private Family Conference
19:30-21:30,.,Pre-sleep
21:30-06:00,.,SLEEP
,,Preparation of reports for Roscosmos site
Task List,FE-4,SEINER Ocean Observations
,,ECON-M. Observations and Photography
FE-4,,
,ECON-M. Observations and Photography,
FE-4,"Photo of space behind SM panels 334, 335, 336, 338 to develop SM",
,EKTC Feeder installation procedure,
CDR,IMS Update,
TIME,CREW,
06:00-06:10,"CDR, FE-5",Morning Inspection
,,Morning Inspection.
06:00-06:10,FE-4,Laptop RS1(2) Reboot SM ПСС (Caution & Warning Panel) Test
,,"RSS1,2 Reboot"
06:10-06:40,,Post-sleep
06:40-07:30,,BREAKFAST
07:30-07:45,,Daily Planning Conference (S-band)
07:45-08:05,,Work Prep
08:15-08:30,,ISS crew and ГОГУ (RSA Flight Control Management Team) weekly conference (S-band)
08:30-08:45,FE-4,URAGAN. Video Footage
08:30-08:35,FE-5,SHD - Weekly Questionnaire
08:30-08:35,CDR,SHD - Weekly Questionnaire
08:35-09:20,FE-5,Acoustic Dosimeter Stow
08:35-09:35,CDR,T2 Exercise
08:45-09:25,FE-4,IDENTIFIKATSIYA. Copy ИМУ-Ц micro-accelerometer data to laptop
09:25-09:35,FE-5,NOD2N - Nadir Hatch to Unlatch Position
09:25-09:40,FE-4,Test activation of Vozdukh Atmosphere Purification System Emergency Vacuum Valves [АВК СОА] /
09:35-10:35,FE-5,T2 Exercise
09:40-10:40,FE-4,"VELO Exercise, Day 1"
10:35-12:05,FE-5,ARED Exercise
10:40-11:40,FE-4,BRI-КЦП2 Test. Tagup with specialists
10:45-10:55,CDR,Food Frequency Questionnaire
11:25-11:45,CDR,HAM Radio Session
11:40-12:35,FE-4,RELAKSATSIYA. Hardware Setup. Tagup with specialists
11:50-12:20,CDR,PETRI - Plants Light Intensity Measurements
12:35-12:55,,ТК 711 Kazbek Fit Check
12:55-13:55,"CDR, FE-5",LUNCH
12:55-13:00,FE-4,On MCC Go ISS N2 Repress from Progress 422 (DC1) СрПК Section 2 (start)
13:00-14:00,FE-4,LUNCH
13:55-14:20,CDR,MDCA - Preparation Ops
13:55-14:05,FE-5,Food Frequency Questionnaire
14:00-14:05,FE-4,ISS N2 repress from Progress 422 (DC1) СрПК Section 2 (terminate) /
14:05-14:20,FE-5,ARED Guide Rail Inspection
14:20-14:35,CDR,CIR - Video Setup and Rack Doors Open
14:20-14:45,FE-4,RELAXATSIYA.  Parameter Settings. Tagup with specialists
14:25-15:10,FE-5,Gather Equipment for Centerline Berthing Camera System (CBCS)
,,HRF-Crew powers on Refrigerated Centrifuge and preparation for blood
06:35-07:00,FE-3,
,,collection
06:40-07:30,FE-2,BREAKFAST
06:40-06:45,FE-5,Body Mass Measurement
06:45-06:50,FE-1,Body Mass Measurement
06:45-07:00,FE-5,HRF- Blood Collection Assistance
06:50-07:30,FE-1,BREAKFAST
06:50-06:55,FE-4,Body Mass Measurement
06:55-07:05,FE-4,МО-8. Cleanup
07:00-07:20,FE-3,Post-sleep
07:00-07:30,FE-5,BREAKFAST
07:05-07:15,FE-4,Post-sleep
07:15-07:30,FE-4,BREAKFAST
07:20-07:30,FE-3,HRF-Refrigerated Centrifuge Configuration
07:30-07:50,.,Daily Planning Conference (S-band)
07:50-08:00,CDR,MERLIN3 – Kits Transfer
07:50-08:05,FE-1,BREAKFAST
07:50-08:10,FE-2,Work Prep
07:50-08:00,FE-3,Post-sleep
07:50-08:25,FE-4,BREAKFAST
07:50-07:55,FE-5,VCA1 Camera – Focusing on FSL EC Panel
FSL Laboratory FASES Power Cable - EC Pigtail J101 Connector 07:55-08:50,FE-5,
,,Measurement Tests
HRF -  Crew removes blood tubes and powers off the Refrigerated 08:00-08:05,FE-3,
,,Centrifuge
,10:30-11:50,
,10:30-11:10,
,10:40-11:40,
,10:45-11:05,
,11:05-11:55,
,11:15-11:55,
,11:40-12:40,
,,
,11:55-12:45,Emergency Mask Review OBT
,,"FE-3FE-4FE-4FE-1,FE-2FE-5CDRFE-3FE-1,FE-2,FE-3,FE-4, FE-"
,,"Exercise Data DownlinkБД-2 Exercise, Day 2ISS Crew OrientationWater Analysis Using MCDLUNCHSHD – Daily QuestionnaireLUNCH"
,11:55-12:10,
,12:10-13:25,
,12:45-13:25,
,12:50-13:25,
,13:00-14:00,
,13:20-13:25,
,,
,13:25-14:25,
,,"5CDRCDRCDR,FE-1,"
,,TOCA – Potable Water Dispenser (PWD) Sample AnalysisICS - Comm Checkout from JEM
,14:00-14:10,
,14:15-14:25,
,,
,14:25-16:15,ISS Emergency Hardware Familiarization Drill
,,
,,"ТКГ #422 (DC1) Stowage Ops with IMS UpdateJournals EntryCEVIS ExerciseVELO Exercise, Day 2"
,14:25-15:55,
,14:25-14:40,
,15:15-16:15,
,15:55-16:55,
16:15-17:45,CDR,ARED Exercise
16:15-17:45,FE-1,"БД-2 Exercise, Day 3"
16:15-16:30,FE-2,Photography of Batavia Lettuce Sample
16:15-17:15,FE-3,ISS Crew Orientation
16:15-16:45,FE-5,BCAT -  H/W Setup Check
,,Preparation for Signal-VM ДС-7А smoke sensor replacement. Tagup with the
16:45-17:15,FE-2,
,,specialists
16:45-17:15,FE-5,BCAT - start of sample collection
16:55-17:55,FE-4,ТКГ #422 (DC1) Stowage Ops with IMS Update
17:15-17:45,FE-2,Evening Work Prep
17:15-18:15,"FE-3,FE-5",Handover
17:45-18:45,FE-1,"VELO Exercise, Day 3"
17:45-18:55,FE-2,ARED Exercise
17:50-17:55,CDR,TOCA – Data Recording
17:55-18:15,FE-4,IMS Update
18:15-18:55,FE-4,Evening Work Prep
18:15-18:30,FE-3,Private Medical Conference
18:20-18:55,CDR,Evening Work Prep
18:25-18:55,FE-5,Evening Work Prep
18:30-18:45,FE-3,Evening Work Prep
18:45-18:55,FE-1,Evening Work Prep
18:55-19:20,.,Daily Planning Conference (S-band)
19:20-19:30,.,Evening Work Prep
19:30-21:25,"CDR,FE-5",Pre-sleep
TIME,CREW,
06:00-06:10,FE-5,Morning Inspection
06:00-06:10,FE-4,"Morning Inspection.  Laptop RS1(2) Reboot RSS1,2 Reboot"
06:00-06:05,CDR,REACTION -  Self-reaction test
06:05-06:15,CDR,Morning Inspection
06:10-06:40,"FE-4, FE-5",Post-sleep
06:15-06:40,CDR,Post-sleep
06:40-07:30,FE-4,BREAKFAST. SM ПСС Test (after breakfast)
06:40-07:30,"CDR, FE-5",BREAKFAST
07:30-09:05,CDR,Weekly Housekeeping
07:30-10:30,FE-5,Weekly Housekeeping
09:05-09:20,CDR,Private Family Conference
09:20-10:45,CDR,Weekly Housekeeping
10:30-11:30,FE-5,T2 Exercise
10:50-11:50,CDR,CEVIS Exercise
11:00-11:15,FE-4,Private Family Conference (Ku+S-band)
11:30-13:00,FE-5,ARED Exercise
11:50-12:00,CDR,CGBA - Status Check and Monitor Cleaning
12:00-13:00,FE-4,"VELO Exercise, Day 3"
12:45-13:45,CDR,LUNCH
13:00-14:00,"FE-4, FE-5",LUNCH
14:00-14:40,FE-4,"СОЖ Maintenance. SM and FGB СВО, СГО, АСУ СПКУ Counter, POTOK Air Purification System Data Calldowns"
14:45-14:55,CDR,HAM-VIDEO – operations sequence
14:50-15:05,FE-5,SPHERES - Camera Setup and Video Recording
15:35-15:50,FE-5,Private Family Conference
15:40-15:50,CDR,MSG - Visual inspection
15:50-17:20,FE-4,"БД-2 Exercise, Day 3"
15:50-17:20,CDR,ARED Exercise
17:00-18:15,FE-5,Pre-sleep
17:20-19:20,"CDR, FE-4",Pre-sleep
